29092022 181000,"4929.312,N,00005.592,E",0.34,0.01,223,6.9,10,62,0.00
29092022 181100,"4929.310,N,00005.590,E",0.33,0.02,227,6.9,10,62,0.0
29092022 181200,"4929.312,N,00005.590,E",0.33,0.02,219,6.9,10,62,0.0
29092022 181300,"4929.303,N,00005.584,E",0.35,0.01,217,6.9,10,62,0.0
29092022 181500,"4929.310,N,00005.588,E",0.31,0.05,213,6.9,10,62,0.0
29092022 181600,"4929.311,N,00005.588,E",0.35,0.0,223,6.9,10,62,0.0
29092022 181700,"4929.311,N,00005.589,E",0.32,0.04,247,6.9,10,62,0.0
29092022 181800,"4929.312,N,00005.588,E",0.34,0.03,234,6.9,10,62,0.0
29092022 181900,"4929.311,N,00005.587,E",0.36,0.0,242,6.9,10,62,0.0
